t Ｔ
tendrils 卷鬢
tenement 住宅
tenement 房屋
tenner 十元紙幣
tennis 乒乓
tenon 榫接
tenor 男高音
tenotomy 割腱術
tenpence 十辨士
tenpins 十柱球戲
tense 時態
tensely 拉緊地
tenseness 心火
tension 張力
tension 壓力
tensometer 張力計
tentacle 觸鬚
tenter 張布機
tenthly 在第十
tenuity 稀薄
tenure 任期
tepefy 微熱
tepidity 微溫
tequila 龍舌蘭酒
terai 寬邊氈帽
terbium 釓
terebene 松節油精
teredo 蛀船蟲
terence 泰倫斯
teresa 泰莉莎
tergum 背叛
term 術語
term 期限
term 期間
termagancy 潑悍
termin 終端
terminal 終點
terminally 未端地
terminate 中斷
terminator 終結者
termini 終點
terminus 終站
terms 條件
terpene 松烯
terrace 平台
terracotta 陶瓦
terrapin 鱉
terrib 可怕
terrib 非常
terrific 非常的
terrify 驚嚇
terrifying 震天駭地
territory 領土
territory 領域
terrorise 恐怖統治
terrorism 恐怖統治
terrorist 恐怖份子
terrorists 恐佈份子
terrorize 恐怖統治
terry 厚絨布
tessellate 鑲嵌
test 考試
test 測試
testa 種皮
testate 立遺囑人
testee 受試驗者
tester 考試者
testes 睪丸
testicle 睪丸
testily 易怒地
testimony 作證
testiness 暴躁
testing 測試
testis 睪丸
tetanic 破傷風
tether 繫鏈
tetherball 繩球
tetrad 四價元素
tetralogy 四部曲
tetrameter 四音步句
tetrarch 小領主
tetrode 四極管
tetroxide 四氧化物
tetter 皮疹
texas 德州
text 文句
text 本文
text 原文
text 課文
textbo 教科書
textbo 課本
textile 紡織品
textural 構造上
texture 質地
texture 質感
th 天后
th 釷
thai 泰國
thalli 葉狀體
than 比
thank 多謝
thank 唔該
thank 謝謝
thanks 謝謝
thanksgivi 感恩
that 那個
that 那麼
that 那樣
that 果Ｄ
that 果個
thatch 茅屋頂
thats 即係話
thaw 溶解
thaw 融解
the 這
thearchy 神政
theater 劇場
theater 戲院
theatr 劇場
theatr 戲院
theatrical 戲劇化的
thebes 底比斯
theca 膜鞘
theft 竊盜
theine 咖啡鹼
their 佢地既
theirs 他們的東西
them 他們
them 它們
them 佢地
themselves 他們自己
themselves 佢地自己
then 先至
then 於是
then 便
then 則
then 既然
then 跟住
then 遂
then 爾後
then 咁
thence 從此
theobald 西歐保特
theocracy 神權政體
theodicy 自然神學
theodore 西歐多爾
theologian 神學者
theologica 神學的
theophany 神的顯現
theorbo 琵琶
theories 理論
theorise 理論化
theory 理論
theosophy 接神論
thera 席拉
there 果度
thereabout 大約
thereabout 在那附近
thereafter 在那之後
thereat 在那裡
theref 因此
theref 所以
therefrom 從此
therein 在其中
thereinto 其中
thereof 關於
thereout 從其
theresa 泰蕾莎
thereto 對那
thereunder 依據
thereunto 到那裡
thereupon 立刻
therewith 隨其
therewith 隨後
thermomete 溫度計
thermopile 熱電堆
these 果Ｄ
these 這些
thesis 論文
theta Θ
theurgy 神通妖術
thews 氣力
they 佢地
thick 厚
thick 厚的
thick 密
thick 濃
thicken 加厚
thicken 變厚
thickening 變厚
thicket 繁茂處
thickhead 笨人
thickly 密集地
thickness 厚度
thief 盜賊
thieve 偷竊
thieves 竊賊
thill 車轅
thiller 轅馬
thimblerig 隱豆戲法
thin 瘦
thin 薄
thin 薄的
thing 事情
thing 東西
thing 野
think 以為
think 考慮
think 思考
think 想
think 諗
thinly 薄細
thinner 天拿水
thinner 強力膠
thinness 薄細
third 第三
thirds 三號
thirst 口渴
thirst 渴
thirstily 渴望著
thirsty 口渴
thirsty 渴的
this 呢Ｄ
this 呢個
this 呢樣
this 這
this 這本
this 這個
this 咁樣
thole 忍耐
thomas 湯姆士
thomas 湯瑪士
thoraces 胸腔
thorite 矽酸土礦
thorn 刺
thorn 荊棘
thorou 充分
thorou 完全
thorou 徹底
thorough 完全的
thorp 村莊
those 那些
those 果樣
thou 古
thou 你
thought 思想
thought 諗
thoughtful 關心的
thoughtles 不注意的
thousa 千
thousands 成千上萬
thrash 打倒
thrasher 鞭打者
thread 細線
thread 線
threadworm 繞蟲
threat 威脅
three Ⅲ
three 丙
three 虎
three 參
three 寅
threnode 悲歌
thresh 門檻
thresh 閾值
threshold 入門
thrice 三倍地
thrice 屢次
thriftily 節儉地
thriftly 儉省
thrill 戰慄
thrill 顫慄
thrilling 暢快
thrips 牧草蟲
thrive 興盛
thriving 欣欣向榮
throat 嚥喉
throatily 喉音地
throb 悸動
throe 劇痛
thrombin 凝血酵素
thrombosis 血栓症
thrombus 血塊
throne 寶座
throstle 畫眉鳥
throug 全部
throug 通過
throug 經過
throug 遍及
throw 丟掉
throw 拋擲
throw 擲
throw 抌
thrush 畫眉
thrush 畫眉鳥
thrust 推入
thrust 插入
thrust 戳刺
thruway 快速公路
thud 砰擊聲
thuggee 暗殺
thumb 大姆指
thumb 拇指
thumbmark 拇指痕
thumbscrew 翼形螺釘
thumbstall 頂針
thump 重打
thunde 打雷
thunde 雷
thunderer 怒喝的人
thursd 星期四
thursday 星期四
thursday 禮拜四
thus 於是
thus 這樣
thusand 千
thusness 如此
thwack 強打
thwart 阻橈
thwart 橫著
thymine 胸線密定
thymol 瑞香草分
ti 鈦
tic 抽筋
tica 泰國幣銖
tick 剔
tick 嘀嗒
ticker 收報機
ticket 入場券
ticket 車票
ticket 飛
ticket 票
ticking 被套料
tickle 咯肢
ticklish 怕癢
ticktock 滴答聲
tidbits 花邊新聞
tide 時勢
tide 潮
tide 潮汐
tideland 沙灘
tidewaiter 監視員
tidily 整潔地
tidings 音信
tidy 整潔
tie 打結
tie 和局
tie 縛
tie 呔
tieback 繫窗簾帶
tied 和局
tiepin 領帶夾
tiffany 帝芬尼
tiffany 紗
tiffany 蒂芙妮
tiffin 中飯
tiger 老虎
tight 窄
tight 貼身
tight 緊密
tighten 束緊
tighten 繫緊
tightly 緊緊地
tightness 緊密
tightrope 高空纜索
tigon 虎獅
tigress 母老虎
tilde ～
tile 瓦磚
tile 磚瓦
tiler 鋪磁磚者
tiles 磁磚
till 直落
tiller 舵桿
tim 林奕威
tim 提姆
timber 木材
timber 木料
timberhead 船材上端
timbering 建築用材
timberland 森林地
timberline 樹帶界線
time 次
time 倍
time 時間
timed 定時間
timely 及時的
timely 即時
timepiece 時鐘
timepiece 鐘錶
timer 計時器
times 次數
timid 懦怯
timid 膽小
timid 膽小的
timid 膽怯
timidity 膽小
timing 時機
timothy 牧草
timothy 提摩斯
tina 蒂娜
tincal 天然硼
tinct 顏色
tincture 顏色
tinder 火絨
tinderbox 火絨箱
tinfoil 錫箔
tinfoil 錫箔紙
tinge 淡色
tinge 輕染
tingle 激動
tingyeezau 鋌而走險
tingyehezau 鋌而走險
tingyizau 鋌而走險
tingyuen 丁烷
tinhorn 裝闊佬
tinkal 天然硼
tinker 修補匠
tinkle 叮噹聲
tinkler 小鈴噹
tinkling 叮噹
tinner 錫礦工
tinnily 音色地
tinnitus 耳鳴
tinplate 洋鐵
tinware 洋鐵製品
tiny 小小
tiny 係小的
tiny 微小
tip 尖銳
tipcat 棒打遊戲
tippet 披肩
tipple 不斷喝酒
tips 小費
tips 貼士
tipsily 傾斜地
tipsiness 傾斜
tipstaff 警察
tipsy 有酒意
tiptoe 趾尖
tirade 長篇大論
tire 疲倦
tire 呔　　
tired 疲倦的
tired 疲勞
tired 眼訓
tiredness 疲勞
tires 輪胎
tiresome 討厭
tissue 組織
tissue 薄紙
titan 泰坦
titanic 鐵達尼號
titbit 一口
titer 濃度測定
titlark 雲雀之類
title 名稱
title 標題
title 頭銜
titrate 滴定
titration 滴定
titter 吃吃地笑
tittup 跳動
titubation 步伐蹣跚
tizzy 昏頭
tk 太古
tl 鉈
tm 銩
tmesis 分字
tnt 三硝基甲苯
to 向
to 至
to 往
to 致
toadstone 蟾蜍石
toadstool 毒菌
toast 多士
toaster 多士爐
tobacc 煙草
tobacco 煙草
tobey 托貝
tobias 托拜希
toby 托比
toco 體罰
tocology 產科學
todd 陶得
toddy 椰子酒
toe 腳趾
toefl 托福測驗
toenail 腳指甲
toff 名士
toffee 牛奶糖
toffee 拖肥
tog 衣服
toga 職服
togeth 一起
togeth 一塊兒
together 一起
together 一齊
together 同埋
together 在一起
toggery 衣服
toggle 針棒
toghter 一齊
toil 苦工
toil 苦幹
toil 勞累
toilet 便所
toilet 廁所
toiletries 化妝品類
token 表征
tokyo 東京
told 話俾…
tolele 容忍
tolerance 容忍
tolerantly 低聲下氣
tolerate 容忍
tolerate 寬容
toleration 寬容
toll 通行稅
toll 費用
tollbooth 收費站
tolstoy 托爾斯泰
tolu 妥路香
toluene 甲苯
tom 湯姆
tomahawk 戰斧
tomb 墓
tomdotcom 貪多金
tome 冊卷
tomfool 笨伯
tomogram 斷層照片
tomorr 明天
tomorrow 天日
tomorrow 聽日
tomtit 山雀類
ton 噸
tonally 在調子上
tone 色調
tone 音色
tone 音調
tone 語調
toner 調色劑
tongs 夾鉗
tongue 舌頭
tongue 利
tonguetied 卷舌
tongz 當
tonics 藥餌
tonigh 今晚
tonite 棉火藥
tonk 強打
tonnage 噸數
tonneau 汽車後座
tony 湯尼
too 一齊
too 都係
tools 工具
toot 喇叭聲
tooth 牙齒
toothcomb 細齒梳子
toothful 微量
toothp 牙膏
tootle 輕輕吹
toots 年青姑娘
top 頂
top 頂端
topaz 黃玉
topdress 盛裝
topee 遮陽帽
tophus 痛風結節
topi 遮陽帽
topic 論題
topically 談論地
topmast 中桅
topmost 最上
topnotch 最高度
toppings 頂層加料
topple 傾倒
topsail 上桅帆
tor 岩山
torah 教律
torch 火炬
torchlight 火炬之光
tore 撕
torero 徒步
tories 英保守黨
torment 苦痛
torpidness 麻木
torrefy 焙烤
torrent 奔流
torrential 滂沱
torsi 軀幹
tortoise 龜
tortoni 冰淇淋
tortuosity 扭曲
torture 折磨
torture 酷刑
torus 圓環面
tory 英保守黨
toss 拋擲
toss 搖動
toss 擲錢
toss 顛簸
tosspot 酒鬼
total 總共
total 總計
totter 動搖
tottering 搖搖欲墜
toucan 巨嘴鳥
touch 碰
touch 掂
touchdown 著地
toucher 觸摸者
touchhole 點火孔
touching 接觸
touchline 邊線界線
touchwood 火絨
tough 棘手
toughen 變強硬
toughly 強硬地
toughness 剛毅
toupee 假髮
tour 遊覽
tourism 旅遊事業
tourist 遊客
tourmaline 電石
tournament 競技
tourniquet 止血器
tousle 攪亂
tow 拉曳
tow 拖車
towage 曳船費用
toward 向
toward 向著
toward 到
toward 朝向
toward 朝著
toward 對著
towering 昂然
towline 拖繩
town 市鎮
town 城鎮
town 鎮
townee 城裡的人
townet 拖網
townie 居民
township 鎮區
towny 城裡的人
towpath 曳船路
towrope 拖曳纜
toxemia 血毒症
toxoid 類毒素
toxophily 射箭
toyota 本田
trace 足跡
trace 痕跡
trace 跡象
trace 線索
tracer 追蹤者
tracery 花飾窗格
track 痕跡
track 跑道
trackball 軌跡球
tracker 追蹤者
tracklayer 鐵路工人
tractate 小冊子
traction 收縮
tractor 拖曳機
tracy 崔西
tracy 翠西
trade 生意
trader 貿易商
trading 交易
traditiona 傳統的
traduce 誹謗
traffic 交通
trafficker 生意人
trafficker 貿易商
tragedy 悲劇
tragic 悲劇
tragopan 角雉
trail 拖著
trail 跡,線索
trailer 活動房屋
train 火車
train 列車
trainband 民兵隊
trainer 訓練師
traini 訓練
trainload 裝載量
trainman 機車司機
traipse 漫步
trait 特徵
traitor 叛逆者
tram 電車
trambl 發抖
trambl 震動
tramp 不定期船
tramper 不定期船
tramway 電車
trance 夢幻之境
tranquil 安靜地
tranquilit 寧靜
transact 交易
transactio 交易
transcribe 謄寫
transf 傳遞
transfer 移轉
transfer 遷移
transfix 嚇呆
transform 轉變
transforma 變換
transfuse 輸入
transgress 違犯
transience 頃刻
transient 暫時寄
transit 運輸
transit 過境
transition 過渡
transl 翻譯
transl 譯文
translat 翻譯
translatio 翻譯
transmissi 傳送
transom 橫樑
transp 透明
transparen 透明的
transpire 蒸發
transport 運輸
transporta 轉運
transship 轉載
transudate 滲出液
transude 滲出
transverse 橫斷物
trapdoor 活動門
trapezoid 梯形
trappings 飾物
trash 廢物
trass 火山土
traumatize 受創傷
travel 旅行者
travel 遊客
traveller 旅客
traverse 橫過
traverse 橫線
traverser 橫貫者
trawler 拖撈船
trawlnet 曳釣網
tray 托盤
treachery 叛逆
tread 蹂躪
treadboard 踏板
treadle 踏木
treason 內亂罪
treasu 財寶
treasu 寶貝
treasure 身家
treasure 寶藏
treasurer 出納員
treasury 金庫
treat 處置
treatise 論述
treatm 治療
treatm 待遇
treatm 處理
treatment 待遇
treatment 處置
treble 三重的
trebuchet 小天平
tree 樹
tree 樹木
trefoil 三葉形
trek 旅行
trellis 格子
trematode 肝蛭
tremella 銀耳
tremendous 很大的
tremor 顫動
trench 渠溝
trench 壕溝
trenchancy 銳利
trend 趨勢
trephine 環鋸手術
tress 編髮
trestle 檯架
trey 三
triad 三合會
triad 三個一組
triad 黑社會
trial 試驗,審判
triangle 三角
triangle 三角形
tribology 摩擦學
tribometer 摩擦計
tribune 護民官
tribute 貢物
tribute 貢獻
trice 吊起
trichiasis 倒睫症
trichina 旋毛蟲
trichology 毛髮學
trichome 毛狀體
trichord 三絃琴
trick 秘訣
trick 騙術
trickily 欺騙著
trickiness 欺騙
trickle 涓涓
tricks 戲法
triclinia 躺臥餐桌
triclinium 躺臥餐桌
tricuspid 三尖瓣
tricycle 三輪車
tried 嘗試
trier 試驗者
trifles 瑣事
trifling 些許的
trifling 瑣碎
triforium 拱廊
trigamist 三重婚者
trigamous 一夫三妻
trigamy 一夫三妻
trigger 板機
triggerman 刺客
trigram 三線形
trigraph 三重音字
trill 顫音
trillion 兆
trillium 白紫
trim 減縮
trimester 三個月
trimly 整齊地
trimmer 修剪者
trimness 整齊
trinidad 千里達
trinket 小裝飾品
trioxide 三氧化物
trip 旅程
tripe 豬肚
triphammer 大電動槌
triphthong 三重母音
triplane 三翼飛機
triplet 三胞胎
triplicity 三倍[重]
tripod 三角架
tripos 優等考試
tripped 絆倒
tripper 旅行者
triptych 三幅一聯
trisect 三等分
trista 翠絲塔
tritely 平凡地
triteness 平凡
tritium 三重氫
triton 三重氫核
triturate 咀嚼磨碎
triturator 磨碎機
triump 凱旋
triump 勝利
triumph 凱旋
triumphant 獲勝的
trivet 三腳鐵架
trivial 瑣細的
trivially 瑣細地
trivium 三學科
trnman 杜魯門
trocar 套管針
troche 藥片
trochilus 蜂鳥
trochlea 軟骨輪
trochoid 軌跡線
troglodyte 穴居人
troika 三頭馬車
trolley 手推車
trommel 礦石篩
tromometer 微震計
trompe 水風筒
troop 軍隊
trooper 騎兵警察
troops 部隊
trope 修辭
trophy 紀念獎
trophy 錦標
tropic 回歸線
tropic 熱帶
tropical 熱帶的
tropics 熱帶
tropism 屈性
tropopause 對流頂層
trot 快步跑
troth 約定
trotline 曳釣繩
troubl 麻煩
troubl 煩惱
troubl 擾亂
trouble 困難
trouble 搞事
troublesom 麻煩的
trounce 痛責
troupe 戲團
trouper 演員
trouse 褲子
trout 尊魚
trout 鱒魚
trover 追索
trow 以為
trowel 抹刀
truck 卡車
truck 貨車
truckage 卡車搬運
trucker 卡車司機
truda 杜達
true 真
truelove 真愛
trueness 真實
truffle 松露
truism 眾所周知
trull 娼妓
truly 真實地
truman 杜魯門
trumoery 囂浮
trumpet 喇叭
truncate 截去
truncate 截短
trunk 皮箱
trunk 後行李箱
trunk 樹幹
trunk 軀幹
trunks 短褲
truss 捆
trust 信得過
trustable 信得過
trustily 忠實地
trustiness 忠實
trusting 相信的
trusting 相信著
trusty 可信任的
truth 真實
truthful 誠實的
try 試
tryout 甄別考試
tryout 甄試
trypsin 胰島素
tryst 約會
tsetse 孑孓蠅
tshirt T恤
tst 尖沙咀
tsuenz 村
tt 電匯
tub 浴盆
tub 桶
tubbiness 桶狀
tube 筒
tube 管
tube 管筒
tuberose 夜來香
tuberosity 塊莖狀
tubing 裝管
tubu 餘步
tubulin 導管素
tuck 擠進
tuck 縫褶
tuckahoe 伏苓
tucker 打褶裝置
tudang 餘黨
tudi 餘地
tudor 都德
tudu 餘毒
tue 餘額
tuenmun 屯門
tuesda 星期二
tuesday 星期二
tuesday 禮拜二
tufa 凝灰岩
tuff 凝灰岩
tug 強拉
tuge 餘割
tujia 餘家
tujiao 餘角
tuli 餘利
tuliang 餘糧
tulu 餘氯
tulwar 彎刀
tum 絃音器
tumble 滾落
tumble 暴跌
tumbleweed 滾草
tumbrel 農車
tumult 喧囂
tumultuous 亂烘烘
tumulus 墳墓
tumz 水
tumz 水
tun 大桶
tuna 吞拿魚
tundra 凍原
tune 音調
tune 調子
tuneup 調整
tungstate 鎢酸鹽
tunian 餘年
tunic 袍
tuning 調諧
tunny 鮪
tup 衝面
tupelo 山茱萸
tuqie 餘切
tuque 毛線暖帽
tuque 餘缺
turban 頭巾
turbid 混濁
turbine 渦輪
turbo 渦輪增壓
turbulence 攪流
turbulent 不穩定氣流
turck 卡車
turd 糞[塊]
tureen 有蓋湯盤
turf 草地
turfite 賽馬迷
turfman 賽馬迷
turkestan 西域
turkey 火雞
turmoil 動亂
turn 轉變成
turn 變化
turnabout 旋轉
turnbuckle 螺絲釦
turncap 旋帽
turncoat 背叛者
turncock 供水栓
turner 煎鏟
turnip 蘿蔔
turnkey 獄吏
turnover 週轉
turnpike 收費公路
turnstile 十字轉門
turpentine 松節油
turpitude 奸惡
turps 松節油
turret 塔
turtleneck 套頭毛衣
tushery 古文體
tushu 餘數
tussle 扭打
tussock 叢
tutelage 保護監督
tutenag 白銅
tutor 家庭教師
tutorage 導師職位
tutty 不純鋅華
tuxia 餘下
tuxian 餘弦
tuxianding 餘弦定理
tuyao 餘姚
tuyere 鼓風口
tuyin 餘音
tv 公仔箱
tw 台灣
tw 荃灣
twain 一對
tweak 用力拉
tweed 斜紋軟呢
tweedle 琴聲
tweeny 女傭
tweet 鳴叫
twelfthly 在第十二
twelve 亥
twelve 豬
twentieth 第二十
twerp 無用之人
twh 大窩口
twice 兩次
twice 兩倍
twiddle 撫弄
twig 樹枝
twilight 微明
twin 雙胞胎
twin 孿生子
twinkl 閃爍
twinkling 閃爍的
twins 雙胞胎
twirl 迅速旋轉
twirler 指揮女郎
twister 撚搓機
twisting 曲曲彎彎
twit 責難
twite 歐洲紅雀
twith 論理
twitter 鳴囀
twittering 呢喃
two Ⅱ
two 乙
two 丑
two 牛
two 兩
two 倆
two 貳
twoness 二重性
twosome 兩個一組
tycoon 大亨
tyewriter 打字機
tyler 泰勒
tympan 鼓膜
tympanist 鼓手
tympanites 鼓脹
type 方式
type 字體
type 樣式,打字
typecast 定角色
typehood 類型
typescript 打字原稿
typeset 排版
typewr 打字機
typhoid 傷寒症
typica 典型
typica 帶表
typica 模范
typography 印刷術
typology 印刷學
tyre 輪胎
tyre 呔
tyrone 泰倫
