obcerse 硬幣正面
opencast 採礦
opening 揭幕
openings 開口
operat 手術
operat 動作
operat 開刀
operat 開動
operat 操作
operat 操縱
operating 操作
operation 手術
operation 動作
operation 操作
operator 操作者
operator 操作員
operette 小歌劇
operon 遺傳
ophelia 奧菲莉雅
ophiolater 蛇崇拜者
ophiolatry 蛇崇拜
ophite 輝綠岩
opine 以為
oppera 歌舞劇
opponent 對抗者
opportunit 機會
oppose 反抗
opposi 相反
opposi 相對
opposi 對面
opposite 相反的
opposition 反對
oppress 壓抑
opprobrium 污名
oppugn 責難
opsonic 細菌
opsonin 細菌
optima 生物
optimise 最佳化
optimize 最佳化
optimu 最佳
optimu 最優
option 任選
optionally 選擇性地
optometry 視力測定
opus 歌劇
opuscule 小品
or ｜
or 否則
or 或者
oracle 神諭
oral 口頭的
oral 柯佬
oralsex 含撚
orange 桔
orange 橙
orange 橘子
orangeman 橙帶黨員
orangery 橘園
orangewood 橙木
orangutan 猩猩
orb 球體
orbit 軌道
orbiter 盤旋物
orchestra 管弦樂團
orchidist 蘭栽培者
orchis 野生蘭花
orchis 蘭
orchitis 睪丸炎
ordain 命運註定
ordeal 考驗
ordeal 嚴格考驗
order 命令
order 柯打
order 秩序
order 順序
orderlies 看護人
orderly 整齊
ordina 平凡
ordina 普通
ordinace 法令
ordinal 順序數
ordination 任命
ordovician 奧陶紀
ordure 污物
oread 山之女精
oregon 奧勒岡
organ 風琴
organelle 細胞器官
organi 組織
organic 器官的
organise 組織
organizati 組織
organize 組織
organzine 珍絲
orgiastic 酒神祭
orgie 鬧酒狂歌
orientate 向東
origin 出身
origin 由來
origin 原點
origin 起源
origin 最初
origin 新穎
origin 獨創
original 原本
original 最初的
originalit 創作力
originally 本來
originally 原係
originate 起始
originate 源自於
originator 創作者
origins 起源
oriole 鶯
orlon 奧龍
ormazd 波斯教
ormer 石決明
ormolu 金色黃銅
ornament 裝飾
ornament 裝飾物
orography 山嶽論
orotund 聲音
orphan 孤兒
orpheus 奧費斯
orpiment 雌黃
orpin 紫景天
orpine 紫景天
orris 鳶尾草
ort 剩菜
orthicon 電視
orthoclase 正長石
orthodox 正統的
orthodoxy 正統說法
orthoptera 昆蟲
orthoptic 直視
orville 奧維爾
oryx 羚羊
os 作業系統
os 鋨
osage 奧色治人
osborn 奧斯本
oscar 奧斯卡
oscillate 振動
oscillator 振動者
oscine 鳴禽類
oscines 鳴禽類
osculum 吸盤
osmanli 土耳其人
osmond 奧斯蒙
osmosis 滲透作用
ossein 骨素
ossifrage 禿鷹
ossify 骨化
ossify 硬化
osteoblast 造骨細胞
ostracize 流放
ostrogoth 東哥德族
oswald 奧斯維德
other 另外
other 別
other 其他
otherness 相異
others 其他
otherw 另外
otherw 否則
otherwhere 在他處
otherwise ，否則；
otherwise 一係就咁
otherwise 不然的話
otherwise 如果唔係就
otis 奧提斯
otitis 耳炎
otologist 耳科醫生
otology 耳科
otophone 助聽器
otorrhoea 耳漏
otoscope 耳鏡
ottawa 渥太華
otto 玫瑰汕
otto 歐特
oubliette 祕牢
ouch 哎唷
ought 應當是
ouija 占板
ounce 安士
ounce 盎司
ounce 盎斯
our 我們的
ourself 我門本人
ourself 我們自己
ourselves 我地自己
ouster 放逐
out 出去
out 出外
out 外
out 攔
outbid 出高價
outburst 突發
outcast 被逐出
outclass 遠勝於
outcurve 棒球
outdate 過時
outdo 優於
outdoo 戶外
outdrop 棒球
outer 在外的
outermost 最外邊
outface 瞪著眼睛
outfielder 野球
outfight 打敗
outfit 旅行裝備
outflank 側翼包圍
outgroup 外圍集團
outguess 看透
outhit 打勝
outhouse 別館
outjockey 哄騙
outland 屬地
outlast 較經久
outlaw 非法者
outlaw 無法無天的
outlawry 置放法外
outlay 費用
outlet 出口
outlin 梗概
outlin 輪廓
outline 概要
outline 輪廓
outlive 壽命超過
outlook 展望
outlook 景色
outness 外面性
outpace 超過
outpoint 得分多於
outport 外港
outpour 注出
outpouring 注出
output 出產
output 輸出
outrage 使憤慨
outrageous 憤怒的
outrank 高居
outreach 擴展到
outride 趕過
outrider 馬車前
outrigger 突出的樑
outright 徹底地
outrival 打敗
outroot 根絕
outrun 超出
outsail 航行較快
outsell 賣超過
outset 著手
outshine 光亮強過
outshine 過亮
outsid 外面
outsid 外邊
outside 出面
outsider 局外的人
outsit 久坐超過
outsit 坐得過久
outskirt 郊外
outskirts 郊外
outsmart 更聰明
outspan 卸下軛
outsta 突出
outstandin 顯目的
outstation 離司令部
outstay 停留過久
outstep 超過
outturn 生產額
outvalue 價值高過
outvie 競爭勝過
outvote 票數勝過
outwalk 追過
outwar 外表
outwar 向外
outward 外部的
outward 對外
outwardly 向外
outwatch 長久看守
outweigh 重於
outwit 瞞騙
outwork 外壘
outworker 屋外
outworn 陳腐
ova 之複數
ovariotomy 卵巢切開
ovaritis 卵巢炎
oven 爐
oven 爐灶
over 在之上
over 越
overact 動作誇張
overage 過剩商品
overalls 工作服
overarch 成拱形
overarm 球賽
overawe 嚇噓
overblown 風等
overboard 在船外
overbrim 注滿
overburden 負擔過多
overcall 叫得較高
overcare 自尋煩惱
overcharge 索價太高
overcloud 陰暗
overco 大衣
overco 外套
overco 打敗
overco 剋服
overcolor 過份潤飾
overcolour 過份潤飾
overcome 克服
overcrop 耕作過度
overcrowd 擠滿
overdo 做得過分
overdress 過度裝飾
overdrink 飲過量
overdrive 加速檔
overdue 逾期
overeat 吃過量
overeating 吃得過多
overexpose 感光過度
overextend 過分擴展
overfeed 餵食過多
overfl 溢出
overflow 溢出
overfulfil 超過
overgild 全部鍍金
overgrow 過度生長
overhang 高掛
overhang 懸垂
overhaul 翻修
overhead 高架的
overhead 費用支出
overjoy 狂喜
overla 重疊
overland 經陸路的
overlay 覆蓋
overlay 覆疊
overlie 躺在上面
overlook 俯視
overlook 俯瞰
overlord 大君主
overnight 通宵
overnight 整夜間
overplay 表演過火
overpower 擊敗
overreach 過度伸張
overrefine 過度精製
override 凌駕
overrun 占領
oversea 越洋
overseas 海外的
oversee 向下看
overseer 監督
overset 翻轉
oversew 縫合
oversexed 性欲
overshadow 淹沒
overshoes 套鞋
overshot 走過頭
oversight 疏失
overskirt 上裙
overslaugh 英軍
oversoul 大靈
overspread 擴張
overstate 誇張
overstay 停留過久
overstep 跨超出
overstock 庫存過多
overstrain 拉得太緊
overta 追上
overtake 追上
overtask 工作過度
overtax 課稅過重
overthrow 打倒
overthrow 打翻
overtoil 過度操勞
overtop 凌駕
overtrain 訓練過度
overtrick 牌戲
overturn 推翻
overuse 使用過度
overvalue 估價過高
overwalk 行走過度
overwash 沖洗
overwatch 掩護
overweigh 過重
overwhelm 淹沒
overwhelm 壓倒
overwhelmi 壓倒性的
overwind 旋太緊
overwinter 過冬
overwo 過勞
overwork 工作過度
overwrap 外包裝
overwrite 改寫
oviduct 喇叭管
oviparous 卵生
ovipary 卵生
oviposit 排卵
ovipositor 產卵管
owe 欠債
owe 借債
owe 掙錢
owe 虧欠
owen 歐恩
owing 基於
own 自己
own 所有
own 擁有
owned 擁有
ox 牛
oxalis 醋漿草
oxen 公牛
oxherd 牧羊人
oxhide 牛皮
oxid 氧化物
oxidate 氧化
oxidation 氧化
oxidizer 氧化劑
oxlip 櫻草
oxter 腋下
oxyacid 含氧酸
oxygen 氧
oxygen 氧氣
oxygenize 氧化
oxysalt 含氧酸鹽
oxytocin 生化
oyer 聽審
oyster 牡蠣
oyster 蚵
oz 盎士
oz 澳洲
oz 可
ozocerite 石蠟
ozokerite 石蠟
ozonize 臭氧處理
